scenario,scenario_label,sector,subsector,technology,canonical_technology,capital_premium,fixedOM_premium,variableOM_premium,factor_source,capital_formal_use,fixedOM_formal_use,variableOM_formal_use,source_ids,assumption_ids,keep_variable_OM_unchanged,mapping_note
low,HK_cost_premium_low,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_PV,1.1,1.05,1,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_rooftop_PV,yes,Fallback from prior premium-reference MD: rooftop PV; OM-var kept unchanged.
mid,HK_cost_premium_mid,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_PV,1.2,1.125,1,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_rooftop_PV,yes,Fallback from prior premium-reference MD: rooftop PV; OM-var kept unchanged.
high,HK_cost_premium_high,elect_td_bld,rooftop_pv,rooftop_pv,rooftop_PV,1.3,1.2,1,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_rooftop_PV,yes,Fallback from prior premium-reference MD: rooftop PV; OM-var kept unchanged.
low,HK_cost_premium_low,intermediate generation,solar,PV_int,solar_PV_base,1.6,1.75,1,v3_final_recommended_matrix.csv,screening,screening,screening,S_HKE_SOLAR;S_IRENA_2023;S_NREL_ATB_2024,A_PV_BASE_capital;A_PV_BASE_fixed_OM;A_PV_BASE_variable_OM,yes,Hong Kong utility ground PV is proxy only.
mid,HK_cost_premium_mid,intermediate generation,solar,PV_int,solar_PV_base,2,2,1,v3_final_recommended_matrix.csv,screening,screening,screening,S_HKE_SOLAR;S_IRENA_2023;S_NREL_ATB_2024,A_PV_BASE_capital;A_PV_BASE_fixed_OM;A_PV_BASE_variable_OM,yes,Hong Kong utility ground PV is proxy only.
high,HK_cost_premium_high,intermediate generation,solar,PV_int,solar_PV_base,2.4,2.45,1,v3_final_recommended_matrix.csv,screening,screening,screening,S_HKE_SOLAR;S_IRENA_2023;S_NREL_ATB_2024,A_PV_BASE_capital;A_PV_BASE_fixed_OM;A_PV_BASE_variable_OM,yes,Hong Kong utility ground PV is proxy only.
low,HK_cost_premium_low,intermediate generation,solar,CSP_int,CSP_not_recommended,1,1,1,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_CSP_not_recommended,no,CSP was not recommended in v3 due to Hong Kong applicability; kept cost-neutral to avoid arbitrary premium.
mid,HK_cost_premium_mid,intermediate generation,solar,CSP_int,CSP_not_recommended,1,1,1,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_CSP_not_recommended,no,CSP was not recommended in v3 due to Hong Kong applicability; kept cost-neutral to avoid arbitrary premium.
high,HK_cost_premium_high,intermediate generation,solar,CSP_int,CSP_not_recommended,1,1,1,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_CSP_not_recommended,no,CSP was not recommended in v3 due to Hong Kong applicability; kept cost-neutral to avoid arbitrary premium.
low,HK_cost_premium_low,subpeak generation,solar,PV_subpeak,solar_PV_base,1.6,1.75,1,v3_final_recommended_matrix.csv,screening,screening,screening,S_HKE_SOLAR;S_IRENA_2023;S_NREL_ATB_2024,A_PV_BASE_capital;A_PV_BASE_fixed_OM;A_PV_BASE_variable_OM,yes,Hong Kong utility ground PV is proxy only.
mid,HK_cost_premium_mid,subpeak generation,solar,PV_subpeak,solar_PV_base,2,2,1,v3_final_recommended_matrix.csv,screening,screening,screening,S_HKE_SOLAR;S_IRENA_2023;S_NREL_ATB_2024,A_PV_BASE_capital;A_PV_BASE_fixed_OM;A_PV_BASE_variable_OM,yes,Hong Kong utility ground PV is proxy only.
high,HK_cost_premium_high,subpeak generation,solar,PV_subpeak,solar_PV_base,2.4,2.45,1,v3_final_recommended_matrix.csv,screening,screening,screening,S_HKE_SOLAR;S_IRENA_2023;S_NREL_ATB_2024,A_PV_BASE_capital;A_PV_BASE_fixed_OM;A_PV_BASE_variable_OM,yes,Hong Kong utility ground PV is proxy only.
low,HK_cost_premium_low,subpeak generation,solar,CSP_subpeak,CSP_not_recommended,1,1,1,fallback_reference_md,model_assumption_only,model_assumption_only,model_assumption_only,S_PREMIUM_REFERENCE_MD,A_FALLBACK_CSP_not_recommended,no,CSP was not recommended in v3 due to Hong Kong applicability; kept cost-neutral to avoid arbitrary premium.
